seq,from_city,to_city,from_lat,from_lon,to_lat,to_lon,Alteryx_Distance_KM,Formula_Distance_KM,Difference_Alteryx_KM_2,h3_approx_distance,Difference_Alteryx_KM
1,Delhi,Mumbai,28.7041,77.1025,19.076,72.8777,1152.6,1153.24,-0.64,588.38,564.22
2,Delhi,Bangalore,28.7041,77.1025,12.9716,77.5946,1749.15,1750.11,-0.96,963.73,785.42
3,Delhi,Hyderabad,28.7041,77.1025,17.385,78.4867,1265.83,1266.53,-0.7,703.19,562.64
4,Delhi,Chennai,28.7041,77.1025,13.0827,80.2707,1766.67,1767.65,-0.98,955.94,810.73
5,Delhi,Kolkata,28.7041,77.1025,22.5726,88.3639,1317.02,1317.75,-0.73,726.37,590.65
6,Delhi,Ahmedabad,28.7041,77.1025,23.0225,72.5714,776.98,777.41,-0.43,406.13,370.85
7,Delhi,Pune,28.7041,77.1025,18.5204,73.8567,1178.83,1179.48,-0.65,625.79,553.04
8,Delhi,Jaipur,28.7041,77.1025,26.9124,75.7873,237.4,237.53,-0.13,118.86,118.54
9,Delhi,Lucknow,28.7041,77.1025,26.8467,80.9462,430.6,430.84,-0.24,235.58,195.02
10,Mumbai,Delhi,19.076,72.8777,28.7041,77.1025,1152.6,1153.24,-0.64,588.38,564.22
11,Mumbai,Bangalore,19.076,72.8777,12.9716,77.5946,844.85,845.32,-0.47,442.24,402.61
12,Mumbai,Hyderabad,19.076,72.8777,17.385,78.4867,621.12,621.46,-0.34,353.88,267.24
13,Mumbai,Chennai,19.076,72.8777,13.0827,80.2707,1032.53,1033.1,-0.57,576.28,456.25
14,Mumbai,Kolkata,19.076,72.8777,22.5726,88.3639,1653.92,1654.84,-0.92,862.51,791.41
15,Mumbai,Ahmedabad,19.076,72.8777,23.0225,72.5714,439.74,439.98,-0.24,256.24,183.5
16,Mumbai,Pune,19.076,72.8777,18.5204,73.8567,120.09,120.15,-0.06,71.8,48.29
17,Mumbai,Jaipur,19.076,72.8777,26.9124,75.7873,920.23,920.74,-0.51,484.1,436.13
18,Mumbai,Lucknow,19.076,72.8777,26.8467,80.9462,1194.01,1194.67,-0.66,637.9,556.11
19,Bangalore,Delhi,12.9716,77.5946,28.7041,77.1025,1749.15,1750.11,-0.96,963.73,785.42
20,Bangalore,Mumbai,12.9716,77.5946,19.076,72.8777,844.85,845.32,-0.47,442.24,402.61
21,Bangalore,Hyderabad,12.9716,77.5946,17.385,78.4867,499.72,499.99,-0.27,260.54,239.18
22,Bangalore,Chennai,12.9716,77.5946,13.0827,80.2707,290.01,290.17,-0.16,141.82,148.19
23,Bangalore,Kolkata,12.9716,77.5946,22.5726,88.3639,1559.83,1560.7,-0.87,795.61,764.22
24,Bangalore,Ahmedabad,12.9716,77.5946,23.0225,72.5714,1236.36,1237.04,-0.68,631.58,604.78
25,Bangalore,Pune,12.9716,77.5946,18.5204,73.8567,734.82,735.23,-0.41,370.44,364.38
26,Bangalore,Jaipur,12.9716,77.5946,26.9124,75.7873,1560.67,1561.54,-0.87,859.45,701.22
27,Bangalore,Lucknow,12.9716,77.5946,26.8467,80.9462,1580.99,1581.87,-0.88,832.69,748.3
28,Hyderabad,Delhi,17.385,78.4867,28.7041,77.1025,1265.83,1266.53,-0.7,703.19,562.64
29,Hyderabad,Mumbai,17.385,78.4867,19.076,72.8777,621.12,621.46,-0.34,353.88,267.24
30,Hyderabad,Bangalore,17.385,78.4867,12.9716,77.5946,499.72,499.99,-0.27,260.54,239.18
31,Hyderabad,Chennai,17.385,78.4867,13.0827,80.2707,514.96,515.24,-0.28,252.76,262.2
32,Hyderabad,Kolkata,17.385,78.4867,22.5726,88.3639,1181.23,1181.88,-0.65,623.43,557.8
33,Hyderabad,Ahmedabad,17.385,78.4867,23.0225,72.5714,879.01,879.5,-0.49,482.9,396.12
