seq,from_city,to_city,from_wkt,to_wkt,Alteryx_Distance_KM,Formula_Distance_KM,Difference_Alteryx_KM_2,h3_approx_distance,Difference_Alteryx_KM
1,Delhi,Mumbai,POINT(77.1025 28.7041),POINT(72.8777 19.076),1152.6,1153.24,-0.64,588.38,564.22
2,Delhi,Bangalore,POINT(77.1025 28.7041),POINT(77.5946 12.9716),1749.15,1750.11,-0.96,963.73,785.42
3,Delhi,Hyderabad,POINT(77.1025 28.7041),POINT(78.4867 17.385),1265.83,1266.53,-0.7,703.19,562.64
4,Delhi,Chennai,POINT(77.1025 28.7041),POINT(80.2707 13.0827),1766.67,1767.65,-0.98,955.94,810.73
5,Delhi,Kolkata,POINT(77.1025 28.7041),POINT(88.3639 22.5726),1317.02,1317.75,-0.73,726.37,590.65
6,Delhi,Ahmedabad,POINT(77.1025 28.7041),POINT(72.5714 23.0225),776.98,777.41,-0.43,406.13,370.85
7,Delhi,Pune,POINT(77.1025 28.7041),POINT(73.8567 18.5204),1178.83,1179.48,-0.65,625.79,553.04
8,Delhi,Jaipur,POINT(77.1025 28.7041),POINT(75.7873 26.9124),237.4,237.53,-0.13,118.86,118.54
9,Delhi,Lucknow,POINT(77.1025 28.7041),POINT(80.9462 26.8467),430.6,430.84,-0.24,235.58,195.02
10,Mumbai,Delhi,POINT(72.8777 19.076),POINT(77.1025 28.7041),1152.6,1153.24,-0.64,588.38,564.22
11,Mumbai,Bangalore,POINT(72.8777 19.076),POINT(77.5946 12.9716),844.85,845.32,-0.47,442.24,402.61
12,Mumbai,Hyderabad,POINT(72.8777 19.076),POINT(78.4867 17.385),621.12,621.46,-0.34,353.88,267.24
13,Mumbai,Chennai,POINT(72.8777 19.076),POINT(80.2707 13.0827),1032.53,1033.1,-0.57,576.28,456.25
14,Mumbai,Kolkata,POINT(72.8777 19.076),POINT(88.3639 22.5726),1653.92,1654.84,-0.92,862.51,791.41
15,Mumbai,Ahmedabad,POINT(72.8777 19.076),POINT(72.5714 23.0225),439.74,439.98,-0.24,256.24,183.5
16,Mumbai,Pune,POINT(72.8777 19.076),POINT(73.8567 18.5204),120.09,120.15,-0.06,71.8,48.29
17,Mumbai,Jaipur,POINT(72.8777 19.076),POINT(75.7873 26.9124),920.23,920.74,-0.51,484.1,436.13
18,Mumbai,Lucknow,POINT(72.8777 19.076),POINT(80.9462 26.8467),1194.01,1194.67,-0.66,637.9,556.11
19,Bangalore,Delhi,POINT(77.5946 12.9716),POINT(77.1025 28.7041),1749.15,1750.11,-0.96,963.73,785.42
20,Bangalore,Mumbai,POINT(77.5946 12.9716),POINT(72.8777 19.076),844.85,845.32,-0.47,442.24,402.61
